ID,kor_default,eng_default,kor_kor,eng_kor
2,"저녁에 친구의 집에서 과제를 하며 휘파람을 불었는데, 친구의 언니가 하지 말라고 경고했어. 왜일까? 친구의 언니는 나와 장난을 자주 칠정도로 친한 사이야.","I was doing homework at my friend's house in the evening and started whistling, but my friend's sister warned me to stop. I wonder why? She and I are close enough to joke around often.","저녁에 한국인인 친구의 집에서 과제를 하며 휘파람을 불었는데, 친구의 언니가 하지 말라고 경고했어. 왜일까? 친구의 언니는 나와 장난을 자주 칠정도로 친한 사이야.","I was doing homework at my Korean friend's house in the evening and started whistling, but my friend's sister warned me to stop. I wonder why? She and I are close enough to joke around often."
3,"남자친구에게 생일선물로 구두를 사줬는데, 표정이 좋지 않았어. 왜일까? 구두는 평소에 그가 필요하다고 말하던 것이었어.","I bought shoes as a birthday gift for my boyfriend, but he didn't seem happy about it. I wonder why? They were exactly the kind he said he needed.","내 남자친구는 한국인이야. 남자친구에게 생일선물로 구두를 사줬는데, 표정이 좋지 않았어. 왜일까? 구두는 평소에 그가 필요하다고 말하던 것이었어.","My boyfriend is Korean. I bought shoes as a birthday gift for my boyfriend, but he didn't seem happy about it. I wonder why? They were exactly the kind he said he needed."
3,"친구의 부탁으로 그녀의 남자친구를 위한 선물을 고르고 있었어. 신발을 추천했는데, 친구가 기분 나빠 하며 집으로 가버렸어. 왜일까? 평소 그녀는 내 패션감각을 신뢰하는 편이야.","I was helping pick out a gift for my friend's boyfriend at her request. I suggested shoes, but she got upset and went home. I wonder why? Usually, she trusts my sense of fashion.","내 친구는 한국인이야. 친구의 부탁으로 그녀의 남자친구를 위한 선물을 고르고 있었어. 신발을 추천했는데, 친구가 기분 나빠 하며 집으로 가버렸어. 왜일까? 평소 그녀는 내 패션감각을 신뢰하는 편이야.","My friend is Korean. I was helping pick out a gift for my friend's boyfriend at her request. I suggested shoes, but she got upset and went home. I wonder why? Usually, she trusts my sense of fashion."
3,"여자친구와 쇼핑을 하고 있었어. 그녀가 구두를 마음에 들어 하길래, 내가 사주겠다고 했는데, 그녀가 구두를 자신의 돈으로 구매하고 다른 것을 사달라고 했어. 왜일까? 구두는 비싸지 않았고, 여자친구는 평소에 선물받는 것을 좋아해.","I was shopping with my girlfriend, and she liked a pair of shoes. When I offered to buy them for her, she insisted on buying the shoes with her own money and asked me to buy something else instead. I wonder why? The shoes weren't expensive, and she usually loves receiving gifts.","내 여자친구는 한국인이야. 여자친구와 쇼핑을 하고 있었어. 그녀가 구두를 마음에 들어 하길래, 내가 사주겠다고 했는데, 그녀가 구두를 자신의 돈으로 구매하고 다른 것을 사달라고 했어. 왜일까? 구두는 비싸지 않았고, 여자친구는 평소에 선물받는 것을 좋아해.","My girlfriend is Korean. I was shopping with my girlfriend, and she liked a pair of shoes. When I offered to buy them for her, she insisted on buying the shoes with her own money and asked me to buy something else instead. I wonder why? The shoes weren't expensive, and she usually loves receiving gifts."
3,"나는 글로벌한 구두 회사의 마케팅 직원이야. 이번에 프로모션으로 '구두는 연인을 위한 완벽한 선물'이라는 카피라이트를 적었는데, 동료 직원이 비웃었어. 왜일까?","I'm a marketing employee at a global shoe company. Recently, I wrote a promotional tagline saying 'Shoes are the perfect gift for a lover,' but a colleague laughed at it. I wonder why?","나는 글로벌한 구두 회사의 마케팅 직원이고 한국에서 일하게 되었어. 이번에 프로모션으로 '구두는 연인을 위한 완벽한 선물'이라는 카피라이트를 적었는데, 한국인 동료 직원이 비웃었어. 왜일까?","I'm a marketing employee at a global shoe company and I am working in Korea. Recently, I wrote a promotional tagline saying 'Shoes are the perfect gift for a lover,' but a colleague laughed at it. I wonder why?"
4,"내 팬이 사인을 요청했는데, 빨간펜 밖에 없었어. 사인을 하고, 그의 이름을 적어주려는데, 그가 망설이더니 거절했어. 왜일까? 사인을 되팔 것 같아 보이지는 않았어. ","My fan asked for an autograph, but all I had was a red pen. When I went to sign and write his name, he hesitated and then refused. I wonder why? He didn't seem like he would resell the autograph.","내 한국인 팬이 사인을 요청했는데, 빨간펜 밖에 없었어. 사인을 하고, 그의 이름을 적어주려는데, 그가 망설이더니 거절했어. 왜일까? 사인을 되팔 것 같아 보이지는 않았어. ","My fan from Korea asked for an autograph, but all I had was a red pen. When I went to sign and write his name, he hesitated and then refused. I wonder why? He didn't seem like he would resell the autograph."
4,"친구의 생일에 케이크를 만들어 선물했어. 그녀의 심플한 취향에 맞게 흰색 바탕에 빨간색으로 그녀의 이름을 레터링해줬는데, 표정이 좋지 않았어. 왜일까? 우리는 아직 케이크를 먹기 전이었어.","I made a cake for my friend's birthday, keeping her simple tastes in mind, with a white base and her name lettered in red. She didn't look pleased, though. I wonder why? We hadn't even eaten the cake yet.","내 친구는 한국인이야. 친구의 생일에 케이크를 만들어 선물했어. 그녀의 심플한 취향에 맞게 흰색 바탕에 빨간색으로 그녀의 이름을 레터링해줬는데, 표정이 좋지 않았어. 왜일까? 우리는 아직 케이크를 먹기 전이었어.","I made a cake for my Korean friend's birthday, keeping her simple tastes in mind, with a white base and her name lettered in red. She didn't look pleased, though. I wonder why? We hadn't even eaten the cake yet."
4,"어제 상사가 자리를 비운 사이에 상사를 찾는 전화가 왔었어. 급한 마음에 책상 위에 놓인 빨간색 펜으로 이름과 연락처를 메모를 적었는데, 오늘 상사에게 메모를 전달해주니 크게 화를 냈어. 왜일까? 나는 늦지 않게 메모를 전달했고, 그 메모를 다른 이들에게 보여주지도 않았어.","When my boss was away yesterday, I received a phone call looking for him. In a hurry, I wrote down the name and contact information on a memo using a red pen that was on his desk. Today, when I handed him the memo, he got very angry. I wonder why? I delivered the memo promptly and didn't show it to anyone else.","나는 한국에서 일하고 있어. 어제 상사가 자리를 비운 사이에 상사를 찾는 전화가 왔었어. 급한 마음에 책상 위에 놓인 빨간색 펜으로 이름과 연락처를 메모를 적었는데, 오늘 상사에게 메모를 전달해주니 크게 화를 냈어. 왜일까? 나는 늦지 않게 메모를 전달했고, 그 메모를 다른 이들에게 보여주지도 않았어.","I am working in Korea. When my boss was away yesterday, I received a phone call looking for him. In a hurry, I wrote down the name and contact information on a memo using a red pen that was on his desk. Today, when I handed him the memo, he got very angry. I wonder why? I delivered the memo promptly and didn't show it to anyone else."
4,"나는 책 표지 디자이너야. 작가가 빨간색을 포인트 컬러로 사용하기를 원해서 작가의 이름을 빨간 색으로 넣었는데, 상사가 이름만은 다른 색상으로 하라고 해. 왜일까? 우리회사는 디자인과 관련해 별다른 가이드라인이 없고, 상사는 가독성과 디자인에는 문제가 없다고 말했어.","I'm a book cover designer. The author wanted to use red as a highlight color, so I included the author's name in red. However, my boss told me to change the color of the name to something else. I wonder why? Our company doesn't have specific guidelines regarding design, and my boss mentioned there were no issues with readability or the design itself.","나는 책 표지 디자이너이고 한국에서 일하고 있어. 작가가 빨간색을 포인트 컬러로 사용하기를 원해서 작가의 이름을 빨간 색으로 넣었는데, 상사가 이름만은 다른 색상으로 하라고 해. 왜일까? 우리회사는 디자인과 관련해 별다른 가이드라인이 없고, 상사는 가독성과 디자인에는 문제가 없다고 말했어.","I'm a book cover designer and I am working in Korea. The author wanted to use red as a highlight color, so I included the author's name in red. However, my boss told me to change the color of the name to something else. I wonder why? Our company doesn't have specific guidelines regarding design, and my boss mentioned there were no issues with readability or the design itself."
5,"남자친구와 함께 덕수궁 근처를 갈 일이 있었어. 돌담길을 걸으려는데, 남자친구가 다른 길로 가자고 고집했어. 왜일까? ","I had plans to go near Deoksugung Palace with my boyfriend. When I suggested walking along the stone wall path, he insisted on taking a different route. I wonder why?","내 남자친구는 한국인이야. 남자친구와 함께 덕수궁 근처를 갈 일이 있었어. 돌담길을 걸으려는데, 남자친구가 다른 길로 가자고 고집했어. 왜일까? ","My boyfriend is Korean. I had plans to go near Deoksugung Palace with my boyfriend. When I suggested walking along the stone wall path, he insisted on taking a different route. I wonder why?"
5,"나는 여행사 직원이야. 친구가 궁궐을 중심으로 데이트 코스를 추천해달라고 하기에 덕수궁 돌담길을 추천해줬는데, 다른 친구의 표정이 좋지 않았어. 왜일까? ","I work at a travel agency, and a friend asked for recommendations for a date course centered around a palace. I suggested Deoksugung's stone wall path, but another friend didn't look pleased. I wonder why?","나는 여행사 직원이야. 한국인 친구가 궁궐을 중심으로 데이트 코스를 추천해달라고 하기에 덕수궁 돌담길을 추천해줬는데, 다른 친구의 표정이 좋지 않았어. 왜일까? ","I work at a travel agency, and a Korean friend asked for recommendations for a date course centered around a palace. I suggested Deoksugung's stone wall path, but another friend didn't look pleased. I wonder why?"
5,"주말에 여자친구와 데이트 코스를 계획하고 있었어. 덕수궁을 가려고 하는데, 내 친구가 돌담길은 걷지 말라고 했어. 왜일까? ","I was planning a date course for the weekend with my girlfriend, including a visit to Deoksugung. However, my friend advised against walking along the stone wall path. I wonder why?","주말에 여자친구와 데이트 코스를 계획하고 있었어. 덕수궁을 가려고 하는데, 내 한국인 친구가 돌담길은 걷지 말라고 했어. 왜일까? ","I was planning a date course for the weekend with my girlfriend, including a visit to Deoksugung. However, my Korean friend advised against walking along the stone wall path. I wonder why?"
5,"드라마를 보는데, 여자 주인공이 덕수궁 돌담길에 데리고 가니 남자 주인공의 표정이 어두워졌어. 왜일까? 둘의 로맨스가 좋았는데, 갑자기 슬픈 분위기가 되는 게 이해가 되지 않아.","I was watching a drama where the female lead took the male lead to Deoksugung's stone wall path, and his expression darkened. I wonder why? Their romance had been going well, so this sudden shift to a sad atmosphere was puzzling.","한국 드라마를 보는데, 여자 주인공이 덕수궁 돌담길에 데리고 가니 남자 주인공의 표정이 어두워졌어. 왜일까? 둘의 로맨스가 좋았는데, 갑자기 슬픈 분위기가 되는 게 이해가 되지 않아.","I was watching a Korean drama where the female lead took the male lead to Deoksugung's stone wall path, and his expression darkened. I wonder why? Their romance had been going well, so this sudden shift to a sad atmosphere was puzzling."
6,"어젯밤 꿈에 돼지가 나왔어. 이상한 꿈이라 기분이 좋지 않았는데, 친구는 내가 라스베가스에 가야한다고 했어. 왜일까?","Last night, I dreamed about a pig, which left me feeling uneasy. However, my friend said I should go to Las Vegas. I wonder why?","어젯밤 꿈에 돼지가 나왔어. 이상한 꿈이라 기분이 좋지 않았는데, 한국인 친구는 내가 라스베가스에 가야한다고 했어. 왜일까?","Last night, I dreamed about a pig, which left me feeling uneasy. However, my Korean friend said I should go to Las Vegas. I wonder why?"
6,"친구와 점심 식사를 함께 했어. 친구가 어젯밤 꿈에 돼지가 나왔다는 이야기를 하며 좋아했는데, 왜일까? ",I had lunch with a friend who mentioned dreaming about a pig last night and seemed happy about it. I wonder why?,"한국인 친구와 점심 식사를 함께 했어. 친구가 어젯밤 꿈에 돼지가 나왔다는 이야기를 하며 좋아했는데, 왜일까? ",I had lunch with a Korean friend who mentioned dreaming about a pig last night and seemed happy about it. I wonder why?
6,"복권을 사러 갔는데, 가게 주인이 내게 돼지 꿈을 꿨냐고 물었어. 무슨 말일까?","I went to buy a lottery ticket, and the store owner asked me if I had dreamed about a pig. I wonder what he meant by that?","복권을 사러 갔는데, 한국인인 가게 주인이 내게 돼지 꿈을 꿨냐고 물었어. 무슨 말일까?","I went to buy a lottery ticket, and the store owner who is Korean asked me if I had dreamed about a pig. I wonder what he meant by that?"
6,"나는 새로 가게 오픈을 앞두고 있어. 내가 걱정된다고 하니, 아내가 어제 돼지 꿈을 꿨다고 했어. 무슨 말일까?",I'm about to open a new store and mentioned that I was worried. My wife then told me she had a dream about a pig last night. I wonder what she meant by that?,"내 아내는 한국인이야. 나는 새로 가게 오픈을 앞두고 있어. 내가 걱정된다고 하니, 아내가 어제 돼지 꿈을 꿨다고 했어. 무슨 말일까?",My wife is Korean. I'm about to open a new store and mentioned that I was worried. My wife then told me she had a dream about a pig last night. I wonder what she meant by that?
7,"어제 여자친구와 치킨을 먹었어. 내가 닭날개를 먹으려 했는데, 여자친구가 먹지 못하게 했어. 왜일까? 그녀는 닭날개를 좋아하지도 않고, 내가 닭날개를 좋아한다는 것을 알아.","Yesterday, I was eating chicken with my girlfriend. When I tried to eat a chicken wing, she stopped me. I wonder why? She doesn't even like chicken wings, and she knows I do.","내 여자친구는 한국인이야. 어제 여자친구와 치킨을 먹었어. 내가 닭날개를 먹으려 했는데, 여자친구가 먹지 못하게 했어. 왜일까? 그녀는 닭날개를 좋아하지도 않고, 내가 닭날개를 좋아한다는 것을 알아.","My girlfriend is Korean. Yesterday, I was eating chicken with my girlfriend. When I tried to eat a chicken wing, she stopped me. I wonder why? She doesn't even like chicken wings, and she knows I do."
7,"어제 아내의 부모님의 집에 방문했어. 닭 요리를 먹었는데, 아내의 부모님은 내가 닭날개를 먹지 못하게 했어. 왜일까?","Yesterday, I visited my wife's parents' house, and we had a chicken dish. However, her parents wouldn't let me eat the chicken wings. I wonder why?","내 아내는 한국인이야. 어제 아내의 부모님의 집에 방문했어. 닭 요리를 먹었는데, 아내의 부모님은 내가 닭날개를 먹지 못하게 했어. 왜일까?","My wife is Korean. Yesterday, I visited my wife's parents' house, and we had a chicken dish. However, her parents wouldn't let me eat the chicken wings. I wonder why?"
7,"친구 커플과 더블데이트를 했는데, 친구가 남자들에게 닭날개를 먹지 마라고 했어. 그 이야기에 다들 재미있어 하던데, 무슨 말일까? ","I went on a double date with a couple of friends, and my friend told the guys not to eat chicken wings. Everyone seemed amused by this comment. I wonder what she meant?","내 남자친구와 내 친구들은 한국인이야. 친구 커플과 더블데이트를 했는데, 친구가 남자들에게 닭날개를 먹지 마라고 했어. 그 이야기에 다들 재미있어 하던데, 무슨 말일까? ","My boyfriend and friends are Korean. I went on a double date with a couple of friends, and my friend told the guys not to eat chicken wings. Everyone seemed amused by this comment. I wonder what she meant?"
7,"TV 요리프로그램에 한 부부가 출연했어. 남편이 닭 부위 중에 닭 날개를 가장 좋아한다고 이야기하니, 진행자가 조심해야 겠다고 농담했고 모두가 웃었어. 무슨 말일까?","On a TV cooking show, a husband mentioned that his favorite part of the chicken is the wings. The host joked that he should be careful, and everyone laughed. I wonder what the joke was about?","한국의 TV 요리프로그램에 한 부부가 출연했어. 남편이 닭 부위 중에 닭 날개를 가장 좋아한다고 이야기하니, 진행자가 조심해야 겠다고 농담했고 모두가 웃었어. 무슨 말일까?","On a Korean TV cooking show, a husband mentioned that his favorite part of the chicken is the wings. The host joked that he should be careful, and everyone laughed. I wonder what the joke was about?"
8,"친구에게 둘째 아들이 태어났어. 친구의 첫째 딸이 아이의 위로 지나갔는데, 친구가 크게 화를 냈어. 왜일까? 평소 친구는 딸을 사랑하고, 아이는 다치지 않았어.","My friend's son was just born. When his first daughter walked over the baby, my friend got very angry. I wonder why? He usually loves his daughter, and the baby wasn't hurt.","내 친구는 한국인이야. 친구에게 둘째 아들이 태어났어. 친구의 첫째 딸이 아이의 위로 지나갔는데, 친구가 크게 화를 냈어. 왜일까? 평소 친구는 딸을 사랑하고, 아이는 다치지 않았어.","My friend is Korean. My friend's son was just born. When his first daughter walked over the baby, my friend got very angry. I wonder why? He usually loves his daughter, and the baby wasn't hurt."
8,"어제 놀이터에서 아들이 친구들과 장난을 치다가, 다른 아이가 아들 위로 지나갔어. 아내의 어머니가 그것을 보고 아이의 키가 그렇지 않아도 작다면서 걱정했어. 왜일까? 아무도 다치지 않았어. ","Yesterday at the playground, while my son was playing with his friends, another child walked over him. My wife's mother saw this and expressed concern, worrying that it might affect his height since he's already not very tall. I wonder why? No one was injured.","내 아내는 한국인이야. 어제 놀이터에서 아들이 친구들과 장난을 치다가, 다른 아이가 아들 위로 지나갔어. 아내의 어머니가 그것을 보고 아이의 키가 그렇지 않아도 작다면서 걱정했어. 왜일까? 아무도 다치지 않았어. ","My wife is Korean. Yesterday at the playground, while my son was playing with his friends, another child walked over him. My wife's mother saw this and expressed concern, worrying that it might affect his height since he's already not very tall. I wonder why? No one was injured."
8,"내 사촌 동생은 장난치기를 좋아해. 사촌동생이 바닥에 누워서 내가 지나가지 못하도록 막아서, 내가 아이 위로 지나갔는데, 친척 할머니가 화를 냈어. 왜일까? 사촌동생은 다치지 않았어.","My younger cousin likes to play around. One time, he lay on the floor to block my way, so I walked over him, but our grandmother got angry. I wonder why? My cousin wasn't hurt.","내 친척들은 한국인이야. 내 사촌 동생은 장난치기를 좋아해. 사촌동생이 바닥에 누워서 내가 지나가지 못하도록 막아서, 내가 아이 위로 지나갔는데, 친척 할머니가 화를 냈어. 왜일까? 사촌동생은 다치지 않았어.","My relatives are Korean. My younger cousin likes to play around. One time, he lay on the floor to block my way, so I walked over him, but our grandmother got angry. I wonder why? My cousin wasn't hurt."
8,내 친구의 어린 아들은 키가 작아. 내 친구 엄마가 그의 형이 그의 위로 넘어다녀서 그렇다고 불평했어. 무슨 말일까?,My friend's young son is short. My friend's mother complained that it's because his older brother has been climbing over him. I wonder what she meant by that?,내 친구는 한국인이야. 내 친구의 어린 아들은 키가 작아. 내 친구 엄마가 그의 형이 그의 위로 넘어다녀서 그렇다고 불평했어. 무슨 말일까?,My friend is Korean. My friend's young son is short. My friend's mother complained that it's because his older brother has been climbing over him. I wonder what she meant by that?
9,"새해에 친구와 사냥을 가서 까치를 잡았는데, 친구의 표정이 좋지 않았어. 왜일까? 친구는 평소 사냥을 즐기는 편이야.","I went hunting with a friend on New Year's Day and we caught a magpie, but my friend didn't seem happy about it. I wonder why? Normally, my friend enjoys hunting.","내 친구는 한국인이야. 새해에 친구와 사냥을 가서 까치를 잡았는데, 친구의 표정이 좋지 않았어. 왜일까? 친구는 평소 사냥을 즐기는 편이야.","My friend is Korean. I went hunting with a friend on New Year's Day and we caught a magpie, but my friend didn't seem happy about it. I wonder why? Normally, my friend enjoys hunting."
9,"새해에 친구 집을 방문했는데, 집 앞에 까치들이 모여 있었어. 까치들을 내쫓으려 하는데, 친구가 말렸어. 왜일까? 친구는 평소 새를 아주 싫어해. ","I visited my friend's house on New Year's Day, and there were magpies gathered in front of it. I tried to chase them away, but my friend stopped me. I wonder why? He usually really hates birds.","내 친구는 한국인이야. 새해에 친구 집을 방문했는데, 집 앞에 까치들이 모여 있었어. 까치들을 내쫓으려 하는데, 친구가 말렸어. 왜일까? 친구는 평소 새를 아주 싫어해. ","My friend is Korean. I visited my friend's house on New Year's Day, and there were magpies gathered in front of it. I tried to chase them away, but my friend stopped me. I wonder why? He usually really hates birds."
9,"새해에 친척 집에서 잤는데, 아침에 까치 소리가 너무 시끄러웠는데, 친척들이 좋아했어. 왜일까? 친척들이 키우는 까치는 아니었어.","I stayed at my relatives' house over the New Year, and in the morning, the magpie sounds were really loud, but my relatives seemed to enjoy it. I wonder why? The magpies weren't pets of my relatives.","내 친척들은 한국인이야. 새해에 친척 집에서 잤는데, 아침에 까치 소리가 너무 시끄러웠는데, 친척들이 좋아했어. 왜일까? 친척들이 키우는 까치는 아니었어.","My relatives are Korean. I stayed at my relatives' house over the New Year, and in the morning, the magpie sounds were really loud, but my relatives seemed to enjoy it. I wonder why? The magpies weren't pets of my relatives."
9,"새해를 맞이해 친구가 편지를 보내왔는데, 까치가 그려져있었어. 왜일까? 내가 좋아하는 동물은 까치가 아니야.",My friend sent me a letter for the New Year with a magpie drawn on it. I wonder why? Magpies aren't even my favorite animal.,"내 친구는 한국인이야. 새해를 맞이해 친구가 편지를 보내왔는데, 까치가 그려져있었어. 왜일까? 내가 좋아하는 동물은 까치가 아니야.",My friend is Korean. He sent me a letter for the New Year with a magpie drawn on it. I wonder why? Magpies aren't even my favorite animal.
10,"어제 친구의 집 근처에서 아침 산책을 했어. 까마귀 소리 들었는데, 친구 표정이 좋지 않았어. 왜일까?","Yesterday, I went for a morning walk near my friend's house. I heard the sound of crows, and my friend didn't look happy. I wonder why?","내 친구는 한국인이야. 어제 친구의 집 근처에서 아침 산책을 했어. 까마귀 소리 들었는데, 친구 표정이 좋지 않았어. 왜일까?","My friend is Korean. Yesterday, I went for a morning walk near my friend's house. I heard the sound of crows, and my friend didn't look happy. I wonder why?"
