,ID,culture,kor_contents,eng_contents,eng_question,kor_question,eng_choices,kor_choices,label
18,18,Korean,임신 중에는 장례식에 가지 않는다.,Pregnant women should not attend funerals.,"In Korean culture, what is believed pregnant women should not do?",한국 문화에서는 임신한 여성이 무엇을 해서는 안 된다고 믿나요?,"A. Attending funerals
B. Baby showers before the baby is born
C. Drinking iced water
D. Wearing high heels.","A. 장례식 참석
B. 아기가 태어나기 전에 베이비 샤워
C. 찬물 마시기
D. 하이힐 신기",A
19,19,Korean,부정을 정화하고 잡귀를 쫓아내기 위해 소금을 뿌린다.,Salt and red beans are sprinkled to purify negativity and ward off evil spirits.,What items are sprinkled to purify negativity and ward off evil spirits in Korean culture?,한국 문화에서 부정한 기운을 없애고 악령을 물리치기 위해 무엇을 뿌리나요?,"A. Salt and red beans
B. Sage and lavender
C. Holy water and frankincense
D. Turmeric and rice.","A. 소금과 팥
B. 세이지와 라벤더
C. 성수와 유향
D. 강황과 쌀",A
20,20,Korean,날달걀을 먹으면 노래를 잘 하게 된다,Eating raw eggs will improve singing ability.,"In Korean culture, what is believed to improve singing ability?",한국 문화에서는 노래 실력을 향상시키기 위해 무엇을 하면 좋다고 믿나요?,"A. Eating raw eggs
B. Drinking hot lemon water
C. Eating apple slices with honey
D. Chewing on ginger slices.","A. 생달걀을 먹기
B. 따뜻한 레몬 물 마시기
C. 사과 슬라이스를 꿀과 함께 먹기
D. 생강 슬라이스를 씹기",A
21,21,Korean,태명을 지어두면 아기가 건강하게 큰다,Giving a prenatal name will ensure a baby grows up healthy.,"In Korean culture, what is believed to ensure a baby will grow up healthy?",한국 문화에서는 아기가 건강하게 자라려면 무엇을 해야 한다고 믿나요?,"A. Giving a prenatal name
B. Hanging a dreamcatcher over the crib
C. Planting a tree in the baby's honor
D. Hosting a baby shower before the baby is born","A. 태명을 지어주기
B. 아기 침대 위에 드림캐쳐 걸기
C. 아기의 이름으로 나무 심기
D. 아기가 태어나기 전에 베이비 샤워 열기",A
22,22,Korean,돌잡이때 아기가 처음 집는 물건이 아기의 미래와 재능을 보여준다,The first object a baby grabs during doljabi (Korean tradition) indicates their future and talents.,"In Korean tradition, during the doljabi ceremony, what does the first object a baby grabs signify about their future?",한국 전통에서 돌잡이 의식 동안 아기가 처음 잡는 물건은 그들의 미래에 대해 무엇을 상징하나요?,"A. It indicates their future talents and career path.
B. It chooses the college they will attend.
C. It determines their political affiliation.
D. It selects their future spouse.","A. 그들의 미래 재능과 직업 경로를 나타낸다.
B. 그들이 다닐 대학을 선택한다.
C. 그들의 정치 성향을 결정한다.
D. 그들의 미래 배우자를 선택한다.",A
23,23,Korean,밥그릇에 숟가락을 꽂으면 재수가 없다,Sticking a spoon in your rice bowl brings bad luck.,"In Korean culture, what is considered to bring bad luck when eating rice?",한국 문화에서 밥을 먹을 때 무엇을 하면 불운을 가져온다고 여겨지나요?,"A. Eating rice with chopsticks
B. Sharing rice from the same bowl
C. Sticking a spoon in your rice bowl
D. Blowing on hot rice to cool it down.","A. 젓가락으로 밥을 먹기
B. 같은 그릇에서 밥을 나눠 먹기
C. 밥그릇에 숟가락을 꽂아두기
D. 뜨거운 밥을 식히기 위해 불기",C
24,24,Korean,저녁에 먹는 사과는 ‘독 사과’다,"Apples eaten in the evening are regarded as ""poison apples.""","In Korean culture, how are apples eaten in the evening regarded?",한국 문화에서 저녁에 사과를 먹는 것은 어떻게 여겨지나요?,"A. As a healthy snack
B. As a dessert
C. As poison
D. As a traditional medicine.","A. 건강한 간식으로
B. 디저트로
C. 독으로
D. 전통 약으로",C
25,25,Korean,산성비를 맞으면 대머리가 된다,Getting hit by acid rain will cause baldness.,"According to Korean belief, what is believed to be a consequence of getting hit by acid rain?",한국의 믿음에 따르면 산성비를 맞으면 어떤 결과가 생긴다고 여겨지나요?,"A. It will cause baldness.
B. It increases intelligence.
C. It brings good luck.
D. It enhances skin health.","A. 탈모를 유발한다.
B. 지능이 높아진다.
C. 행운을 가져온다.
D. 피부 건강을 개선한다.",A
26,26,Korean,욕을 먹으면 오래 산다,"If you get a lot of insults, you'll live a long life.","According to Korean belief, what is said to happen if you receive a lot of insults?",한국의 믿음에 따르면 욕을 많이 먹으면 어떤 일이 일어난다고 하나요?,"A. You'll live a long life.
B. You'll become more successful.
C. You'll find true love.
D. You'll have good fortune.","A. 오래 살게 된다.
B. 더 성공하게 된다.
C. 진정한 사랑을 찾게 된다.
D. 행운을 얻게 된다.",A
27,27,Korean,"부조금은 홀수로 내야 하며, 천원 단위로는 내지 않는다",You should give odd amounts of money for condolences.,"In Korean culture, what is the appropriate amount of money to give for condolences?",한국 문화에서 조의금으로 적절한 금액은 얼마인가요?,"A. Even amounts of money
B. Exactly $50
C. Odd amounts of money
D. A gift card.","A. 짝수 금액
B. 정확히 50달러
C. 홀수 금액
D. 상품권",C
28,28,Korean,흰 국화는 산 사람에게 선물하기에 적절하지 않다,White chrysanthemums are not appropriate gifts for someone who is alive.,"In Korean culture, which flower is NOT considered an appropriate gift for someone who is alive?",한국 문화에서 살아 있는 사람에게 적합하지 않은 꽃은 무엇인가요?,"A. White chrysanthemums
B. Roses
C. Carnations
D. Sunflowers.","A. 하얀 국화
B. 장미
C. 카네이션
D. 해바라기",A
29,29,Korean,나이가 9로 끝날 때를 조심해야 한다,Be cautious when your age ends in 9.,"In Korean culture, why should you be cautious when your age ends in 9?",한국 문화에서 나이가 9로 끝날 때 왜 주의해야 한다고 하나요?,"A. It is considered the year you are most prone to bad luck.
B. It is the age at which you are expected to change your job.
C. It is the age you must consider running for political office.
D. It is considered the right age to start a business.","A. 그 해에 불운이 가장 많이 따른다고 여겨진다.
B. 직업을 바꿔야 한다고 기대되는 나이다.
C. 정치에 출마할 것을 고려해야 하는 나이다.
D. 사업을 시작하기에 적절한 나이로 여겨진다.",A
30,30,Korean,울다가 웃으면 엉덩이에 뿔/털 난다,Laughing after crying will make horns or fur grow on your buttocks.,"In Korean culture, what is believed to happen if you laugh after crying?",한국 문화에서는 울고 난 후에 웃으면 어떤 일이 일어난다고 믿나요?,"A. You will grow horns or fur on your buttocks.
B. You will find money the next day.
C. You will have good luck for a week.
D. Your wishes will come true within a year.","A. 엉덩이에 뿔이나 털이 난다.
B. 다음 날 돈을 발견하게 된다.
C. 일주일 동안 행운이 따른다.
D. 1년 안에 소원이 이루어진다.",A
31,31,Korean,머리는 북/문쪽에 놓고 자서는 안된다,Don't sleep with your head facing the north or the door.,"In Korean culture, in which direction should you avoid sleeping with your head pointing towards?",한국 문화에서는 머리를 어느 방향으로 두고 자는 것을 피해야 하나요?,"A. facing the south
B. facing the west
C. facing the north or the door
D. facing the east.","A. 남쪽을 향하는 것
B. 서쪽을 향하는 것
C. 북쪽이나 문을 향하는 것
D. 동쪽을 향하는 것",C
