ID,한국어,영어,한국어_한국인,영어_한국인
2,"아내의 부모님 집을 방문했어. 저녁 식사를 마치고 아내, 그리고 아내의 부모님과 함께 밤에 산책을 하고 있어. 분위가 심심한데, 휘파람을 불어도 될까? 아내의 부모님은 평소에 내가 휘파람을 잘 부는 것을 신기하게 여기셨어.","I visited my wife's parents' house. After dinner, I'm going for a walk with my wife and her parents at night. It's a bit dull, so would it be okay to whistle? My wife's parents usually find it fascinating that I can whistle well.","내 아내는 한국인이야. 아내의 부모님 집을 방문했어. 저녁 식사를 마치고 아내, 그리고 아내의 부모님과 함께 밤에 산책을 하고 있어. 분위가 심심한데, 휘파람을 불어도 될까? 아내의 부모님은 평소에 내가 휘파람을 잘 부는 것을 신기하게 여기셨어.","My wife is Korean. I visited my wife's parents' house. After dinner, I'm going for a walk with my wife and her parents at night. It's a bit dull, so would it be okay to whistle? My wife's parents usually find it fascinating that I can whistle well."
2,"나는 호텔의 매니저로 일하고 있어. 우리 호텔의 동양적인 분위기에 맞게, 밤에 라운지 공간에 피리 음악을 틀어놓으려는데 괜찮겠지?","I work as a manager at a hotel. To match the oriental ambiance of our hotel, I'm thinking of playing flute music in the lounge area at night. Would that be okay?","나는 한국에서 호텔의 매니저로 일하고 있어. 우리 호텔의 동양적인 분위기에 맞게, 밤에 라운지 공간에 피리 음악을 틀어놓으려는데 괜찮겠지?","I work as a manager at a hotel in Korea. To match the oriental ambiance of our hotel, I'm thinking of playing flute music in the lounge area at night. Would that be okay?"
3,"남자친구는 운동하는 것을 좋아해. 남자친구에게 생일선물로 운동화를 사주려는데, 괜찮을까?",My boyfriend likes to exercise. I'm thinking of buying him sneakers as a birthday gift. Would that be okay?,"내 남자친구는 한국인이야. 남자친구는 운동하는 것을 좋아해. 남자친구에게 생일선물로 운동화를 사주려는데, 괜찮을까?",My boyfriend is Korean and he likes to exercise. I'm thinking of buying him sneakers as a birthday gift. Would that be okay?
3,여자친구가 최근에 취직했어. 정장을 입는데 좋은 구두가 필요할 것 같아서 구두를 선물하려는데 괜찮을까?,"My girlfriend recently got a job. She needs good shoes for wearing with suits, so I'm thinking of gifting her a pair of shoes. Would that be okay?",내 여자친구는 한국인이고 그녀는 최근에 취직했어. 정장을 입는데 좋은 구두가 필요할 것 같아서 구두를 선물하려는데 괜찮을까?,"My girlfriend is Korean and she recently got a job. She needs good shoes for wearing with suits, so I'm thinking of gifting her a pair of shoes. Would that be okay?"
3,나는 글로벌한 구두 회사의 마케팅 직원이야. 이번에 프로모션으로 '구두는 연인을 위한 완벽한 선물'이라는 카피라이트를 적었는데 괜찮겠지?,"I work in marketing for a global shoe company. For our latest promotion, I wrote the tagline 'Shoes are the perfect gift for a lover.' Would that be okay?",나는 글로벌한 구두 회사의 마케팅 직원이야. 나는 한국 지사에서 일하게 되었어. 이번에 프로모션으로 '구두는 연인을 위한 완벽한 선물'이라는 카피라이트를 적었는데 괜찮겠지?,"I work in marketing for a global shoe company. I am now working at the branch in Korea. For our latest promotion, I wrote the tagline 'Shoes are the perfect gift for a lover.' Would that be okay?"
3,"친구의 부탁으로 그녀의 남자친구를 위한 선물을 고르고 있어. 그녀의 예산으로는 신발이 가장 적당한 선물인 것 같은데, 추천해도 괜찮겠지?","At my friend's request, I'm choosing a gift for her boyfriend. Considering her budget, shoes seem like the most suitable gift. Would it be okay to recommend that?","내 친구는 한국인이야. 친구의 부탁으로 그녀의 남자친구를 위한 선물을 고르고 있어. 그녀의 예산으로는 신발이 가장 적당한 선물인 것 같은데, 추천해도 괜찮겠지?","My friend is Korean. At my friend's request, I'm choosing a gift for her boyfriend. Considering her budget, shoes seem like the most suitable gift. Would it be okay to recommend that?"
4,"내 친구는 빨간 색을 정말 좋아해. 그녀의 생일 케이크를 준비하고 있는데, 빨간 색으로 이름을 레터링해서 줘도 될까?",My friend really likes the color red. I'm preparing her birthday cake. Would it be okay to use red for the lettering of her name?,"내 친구는 한국인이고 빨간 색을 정말 좋아해. 그녀의 생일 케이크를 준비하고 있는데, 빨간 색으로 이름을 레터링해서 줘도 될까?",My friend is Korean and she really likes the color red. I'm preparing her birthday cake. Would it be okay to use red for the lettering of her name?
4,"내가 좋아하는 선수에게 선물을 하려 해. 팀의 상징적인 색깔이 빨간색인데, 빨간색으로 선수의 이름과 그가 남긴 명언을 포스터로 만들어 선물하려고 해. 괜찮겠지?","I want to give a gift to my favorite player. The team's symbolic color is red, so I'm planning to make a poster with the player's name and a famous quote of his in red. Would that be okay?","내가 좋아하는 선수는 한국인이고 나는 그에게 선물을 하려 해. 팀의 상징적인 색깔이 빨간색인데, 빨간색으로 선수의 이름과 그가 남긴 명언을 포스터로 만들어 선물하려고 해. 괜찮겠지?","I want to give a gift to my favorite player who is Korean. The team's symbolic color is red, so I'm planning to make a poster with the player's name and a famous quote of his in red. Would that be okay?"
4,공연을 마치고 팬이 나에게 싸인을 요청해 왔어. 빨간 펜 밖에 없어서 빨간색으로 싸인을 하고 팬의 이름을 적어주려는데 괜찮겠지?,"After a performance, a fan asked for my autograph. I only have a red pen, so I'm planning to sign in red and write the fan's name. Would that be okay?",공연을 마치고 한국인인 팬이 나에게 싸인을 요청해 왔어. 빨간 펜 밖에 없어서 빨간색으로 싸인을 하고 팬의 이름을 적어주려는데 괜찮겠지?,"After a performance, a fan from Korea asked for my autograph. I only have a red pen, so I'm planning to sign in red and write the fan's name. Would that be okay?"
4,"나는 책 표지 디자이너야. 이번 소설의 주제가 강렬한 주제라, 컨셉을 빨간색으로 잡고 작가 이름을 빨간색으로 디자인하려는데 괜찮겠지?","I'm a book cover designer. The theme of this novel is intense, so I'm planning to design the concept in red and use red for the author's name. Would that be okay?","나는 책 표지 디자이너이고 한국에서 일하고 있어. 이번 소설의 주제가 강렬한 주제라, 컨셉을 빨간색으로 잡고 작가 이름을 빨간색으로 디자인하려는데 괜찮겠지?","I'm a book cover designer and I am working in Korea. The theme of this novel is intense, so I'm planning to design the concept in red and use red for the author's name. Would that be okay?"
5,남자친구와 함께 덕수궁 근처로 데이트를 갔어. 날씨가 좋아서 돌담길에서 산책을 하고 싶은데 괜찮겠지?,"I went on a date near Deoksugung Palace with my boyfriend. The weather is nice, so I want to take a walk along the stone wall path. Would that be okay?",내 남자친구는 한국인이야. 남자친구와 함께 덕수궁 근처로 데이트를 갔어. 날씨가 좋아서 돌담길에서 산책을 하고 싶은데 괜찮겠지?,"My boyfriend is Korean. I went on a date near Deoksugung Palace with my boyfriend. The weather is nice, so I want to take a walk along the stone wall path. Would that be okay?"
5,친구가 데이트코스를 추천해달라고 해. 지난번 덕수궁 돌담길을 걸었을 때 좋았던 기억이 있어서 데이트 코스로 추천하려는데 괜찮을까?,"My friend asked for a date course recommendation. I have fond memories of walking along Deoksugung stone wall last time, so I'm thinking of recommending it as a date course. Would that be okay?",내 친구는 한국인이고 내게 데이트코스를 추천해달라고 해. 지난번 덕수궁 돌담길을 걸었을 때 좋았던 기억이 있어서 데이트 코스로 추천하려는데 괜찮을까?,"My friend is Korean and she asked for a date course recommendation. I have fond memories of walking along Deoksugung stone wall last time, so I'm thinking of recommending it as a date course. Would that be okay?"
5,"나는 영화 제작자야. 이번에 로맨틱한 영화를 촬영하려는데, 덕수궁 근처의 분위기가 좋아보여. 엔딩 장면으로 남녀 주인공이 돌담길을 걸으며 데이트를 하는 씬을 찍으려는데 괜찮겠지?","I am a filmmaker. I'm planning to shoot a romantic movie, and the atmosphere near Deoksugung looks appealing. I'm thinking of filming the ending scene with the male and female leads walking and dating along the stone wall path. Would that be okay?","나는 영화 제작자야. 이번에 로맨틱한 영화를 촬영하려는데, 덕수궁 근처의 분위기가 좋아보여. 엔딩 장면으로 남녀 주인공이 돌담길을 걸으며 데이트를 하는 씬을 찍으려는데 괜찮겠지? 영화는 한국은 물론 전세계에 개봉될 거야.","I am a filmmaker. I'm planning to shoot a romantic movie, and the atmosphere near Deoksugung looks appealing. I'm thinking of filming the ending scene with the male and female leads walking and dating along the stone wall path. Would that be okay? The movie will be released not only in Korea but also worldwide."
5,주말에 좋아하는 여자와 만나기로 했어. 덕수궁 근처의 분위기가 좋은 것 같아서 돌담길을 걸으며 내 마음을 고백하려는데 괜찮겠지?,"I've arranged to meet a girl I like this weekend. The atmosphere near Deoksugung seems nice, so I plan to confess my feelings while walking along the stone wall path. Would that be okay?",주말에 좋아하는 여자와 만나기로 했어. 그 여자는 한국인이야. 덕수궁 근처의 분위기가 좋은 것 같아서 돌담길을 걸으며 내 마음을 고백하려는데 괜찮겠지?,"I've arranged to meet a girl I like this weekend. She is Korean. The atmosphere near Deoksugung seems nice, so I plan to confess my feelings while walking along the stone wall path. Would that be okay?"
6,"아침에 여자친구에게 좋은 꿈을 꿨냐고 문자를 보냈는데, 돼지 꿈을 꿨다고 답장이 왔어. 여자 친구는 평소에 돼지를 좋아하지 않기에 꿈과 현실은 반대라고 위로하려는데 괜찮을까?","This morning, I texted my girlfriend asking if she had any nice dreams, and she replied that she dreamed about pigs. Since she doesn't like pigs normally, I'm thinking of consoling her by saying that dreams are the opposite of reality. Would that be okay?","내 여자친구는 한국인이야. 아침에 여자친구에게 좋은 꿈을 꿨냐고 문자를 보냈는데, 돼지 꿈을 꿨다고 답장이 왔어. 여자 친구는 평소에 돼지를 좋아하지 않기에 꿈과 현실은 반대라고 위로하려는데 괜찮을까?","My girlfriend is Korean. This morning, I texted my girlfriend asking if she had any nice dreams, and she replied that she dreamed about pigs. Since she doesn't like pigs normally, I'm thinking of consoling her by saying that dreams are the opposite of reality. Would that be okay?"
6,"오늘 중요한 미팅이 있는데, 아침에 상사가 진지한 표정으로 내게 어제 돼지 꿈을 꿨냐고 물어봐. 무슨 말인지 모르겠지만 조심해야 하는 것이겠지?","I have an important meeting today, and this morning my boss asked me with a serious expression if I dreamed about pigs last night. I'm not sure what it means, but I guess I should be cautious?","나는 한국에서 일하고 있어. 오늘 중요한 미팅이 있는데, 아침에 상사가 진지한 표정으로 내게 어제 돼지 꿈을 꿨냐고 물어봐. 무슨 말인지 모르겠지만 조심해야 하는 것이겠지?","I am working in Korea. I have an important meeting today, and this morning my boss asked me with a serious expression if I dreamed about pigs last night. I'm not sure what it means, but I guess I should be cautious?"
6,"오늘 스트레스를 받아서 복권을 평소에 사던 것에 비해 많이 샀어. 가게 주인이 내게 돼지 꿈을 꿨냐고 물어보는데, 욕심이 많다는 뜻인 걸까? 기분이 나쁜데 한마디 해도 괜찮겠지?","I was stressed today, so I bought more lottery tickets than usual. The store owner asked me if I had dreamed about pigs, which might imply that I am greedy. I feel offended; would it be okay to say something about it?","오늘 스트레스를 받아서 복권을 평소에 사던 것에 비해 많이 샀어. 한국인인 가게 주인이 내게 돼지 꿈을 꿨냐고 물어보는데, 욕심이 많다는 뜻인 걸까? 기분이 나쁜데 한마디 해도 괜찮겠지?","I was stressed today, so I bought more lottery tickets than usual. The store owner who is Korean asked me if I had dreamed about pigs, which might imply that I am greedy. I feel offended; would it be okay to say something about it?"
6,"오늘 투자 미팅을 앞두고 있어. 어제 돼지 꿈을 꿨는데, 이상한 기분이 들어. 직원이 좋은 꿈이라고 했는데, 믿어도 괜찮겠지?","I have an investment meeting today. I dreamed about pigs last night, which felt strange. An employee said it was a good dream; should I trust that?","오늘 투자 미팅을 앞두고 있어. 어제 돼지 꿈을 꿨는데, 이상한 기분이 들어. 한국인 직원이 좋은 꿈이라고 했는데, 믿어도 괜찮겠지?","I have an investment meeting today. I dreamed about pigs last night, which felt strange. An Korean employee said it was a good dream; should I trust that?"
7,"아내의 부모님 집에서 식사를 하게 되었는데, 내게 닭날개를 주지 않았어. 좋은 부위가 아니라고 생각해서 배려하신 것 같아. 나는 닭날개도 좋아해서 그냥 먹었는데 괜찮겠지?","I had a meal at my wife's parents' house, and they didn't give me any chicken wings. It seems they thought it wasn't a good part and were being considerate. I like chicken wings and ate them anyway; would that be okay?","내 아내는 한국인이야. 아내의 부모님 집에서 식사를 하게 되었는데, 내게 닭날개를 주지 않았어. 좋은 부위가 아니라고 생각해서 배려하신 것 같아. 나는 닭날개도 좋아해서 그냥 먹었는데 괜찮겠지?","My wife is Korean. I had a meal at my wife's parents' house, and they didn't give me any chicken wings. It seems they thought it wasn't a good part and were being considerate. I like chicken wings and ate them anyway; would that be okay?"
7,"오래 친구로 지내오던 여자와 사귀게 되었어. 함께 치킨을 먹는데, 내가 닭날개를 좋아하는 것을 알면서도 닭날개를 주지 않았어. 친구로 지낼 때는 잘 나눠주다가 갑자기 혼자 먹으려는 것 같아서 기분이 나빠. 양보하라고 한 마디해도 괜찮겠지?","I started dating a woman I had been friends with for a long time. While eating chicken together, she didn't give me any chicken wings even though she knows I like them. When we were just friends, she used to share them well, but now it seems like she wants to eat them all herself, which upset me. Would it be okay to speak up and ask her to share?","오래 친구로 지내오던 여자와 사귀게 되었어. 그 여자는 한국인이야. 함께 치킨을 먹는데, 내가 닭날개를 좋아하는 것을 알면서도 닭날개를 주지 않았어. 친구로 지낼 때는 잘 나눠주다가 갑자기 혼자 먹으려는 것 같아서 기분이 나빠. 양보하라고 한 마디해도 괜찮겠지?","I started dating a woman I had been friends with for a long time. She is Korean. While eating chicken together, she didn't give me any chicken wings even though she knows I like them. When we were just friends, she used to share them well, but now it seems like she wants to eat them all herself, which upset me. Would it be okay to speak up and ask her to share?"
7,"결혼하고 친척 집에 인사를 하러 갔어. 닭 요리를 먹는데, 친척들이 남편에게는 닭날개를 주지 않았어. 남편은 닭 날개를 좋아하는데, 내 몫을 나눠줘도 괜찮겠지?","After getting married, we went to visit my relatives' house. During a meal with chicken, my relatives didn't give any chicken wings to my husband, even though he likes them. Would it be okay if I shared my portion with him?","내 친척들은 한국인이야. 결혼하고 친척 집에 인사를 하러 갔어. 닭 요리를 먹는데, 친척들이 남편에게는 닭날개를 주지 않았어. 남편은 닭 날개를 좋아하는데, 내 몫을 나눠줘도 괜찮겠지?","My relatives are Korean. After getting married, we went to visit my relatives' house. During a meal with chicken, my relatives didn't give any chicken wings to my husband, even though he likes them. Would it be okay if I shared my portion with him?"
7,"결혼하고 아내의 친척 집에 인사를 하러 갔어. 닭 요리를 먹는데, 아내에게만 닭날개를 줘. 별로 좋지 않은 부위라고 준 것 같은데, 내 것과 바꿔줘도 괜찮겠지?","After getting married, I visited my wife's relatives' house. During a meal with chicken, they only gave chicken wings to my wife, perhaps thinking it's not a good part. Would it be okay if I swapped mine with hers?","내 아내는 한국인이야. 결혼하고 아내의 친척 집에 인사를 하러 갔어. 닭 요리를 먹는데, 아내에게만 닭날개를 줘. 별로 좋지 않은 부위라고 준 것 같은데, 내 것과 바꿔줘도 괜찮겠지?","My wife is Korean. After getting married, I visited my wife's relatives' house. During a meal with chicken, they only gave chicken wings to my wife, perhaps thinking it's not a good part. Would it be okay if I swapped mine with hers?"
9,새해에 친척 집으로 여행을 갔어. 아침에 일어나니 까치가 너무 시끄럽게 울길래 내쫓으려하는데 괜찮을까?,"I traveled to my relatives' house for the New Year. In the morning, the magpies were making a lot of noise, so I'm thinking of chasing them away. Would that be okay?",새해에 한국인인 친척 집으로 여행을 갔어. 아침에 일어나니 까치가 너무 시끄럽게 울길래 내쫓으려하는데 괜찮을까?,"I traveled to my Korean relatives' house for the New Year. In the morning, the magpies were making a lot of noise, so I'm thinking of chasing them away. Would that be okay?"
9,새해에 친척 집에서 하룻밤을 묵게 되었어. 아침에 일어나니 마당에 까치가 잔뜩 모여 있었어. 마당이 똥으로 더러워질 것 같아 내쫓으려는데 괜찮겠지?,"I stayed overnight at my relatives' house for the New Year. When I woke up in the morning, there were a lot of magpies gathered in the yard. I'm thinking of chasing them away because it seems like the yard might get dirty with droppings. Would that be okay?",새해에 한국인인 집에서 하룻밤을 묵게 되었어. 아침에 일어나니 마당에 까치가 잔뜩 모여 있었어. 마당이 똥으로 더러워질 것 같아 내쫓으려는데 괜찮겠지?,"I stayed overnight at my Korean relatives' house for the New Year. When I woke up in the morning, there were a lot of magpies gathered in the yard. I'm thinking of chasing them away because it seems like the yard might get dirty with droppings. Would that be okay?"
9,"나는 사냥이 취미야. 새해에 사냥을 나갔다가, 까치를 잡았는데 친구에게 선물로 줘도 될까? 친구는 평소에 내가 잡은 오리나 꿩 같은 동물들을 가지고 싶어 했어.",Hunting is my hobby. I caught a magpie while hunting on New Year's Day. Would it be okay to give it to a friend as a gift? My friend usually wants the ducks or pheasants I catch.,"나는 사냥이 취미야. 새해에 사냥을 나갔다가, 까치를 잡았는데 내 한국인 친구에게 선물로 줘도 될까? 친구는 평소에 내가 잡은 오리나 꿩 같은 동물들을 가지고 싶어 했어.",Hunting is my hobby. I caught a magpie while hunting on New Year's Day. Would it be okay to give it to my Korean friend as a gift? My friend usually wants the ducks or pheasants I catch.
9,"새해에 카드를 사러 갔는데, 온통 까치가 그려진 것밖에 없어. 친구는 새를 그다지 좋아하는 것 같지 않은데, 까치가 그려진 카드를 줘도 될까?","I went to buy a card for the New Year, but all they had were cards with magpies on them. My friend doesn't seem to like birds much. Would it be okay to give a card with a magpie on it?","새해에 카드를 사러 갔는데, 온통 까치가 그려진 것밖에 없어. 내 한국인 친구는 새를 그다지 좋아하는 것 같지 않은데, 까치가 그려진 카드를 줘도 될까?","I went to buy a card for the New Year, but all they had were cards with magpies on them. My Korean friend doesn't seem to like birds much. Would it be okay to give a card with a magpie on it?"
10,"아내의 부모님은 휴대폰을 잘 다루지 못하셔. 지금의 알람이 너무 시끄럽다고 조금 더 잔잔한 것으로 바꾸기를 부탁하셔. 인터넷에 보니 새소리가 좋은 모닝콜이 된다고 하는데, 소리가 적당히 큰 까마귀 소리로 해두어도 괜찮겠지? ",My wife's parents are not very adept at using smartphones. They've asked to change their alarm to something less jarring because the current one is too loud. I read on the internet that bird sounds make good alarms. Would it be okay to set it to a moderately loud crow sound?,"내 아내는 한국인이야. 아내의 부모님은 휴대폰을 잘 다루지 못하셔. 지금의 알람이 너무 시끄럽다고 조금 더 잔잔한 것으로 바꾸기를 부탁하셔. 인터넷에 보니 새소리가 좋은 모닝콜이 된다고 하는데, 소리가 적당히 큰 까마귀 소리로 해두어도 괜찮겠지? ",My wife is Korean. Her parents are not very adept at using smartphones. They've asked to change their alarm to something less jarring because the current one is too loud. I read on the internet that bird sounds make good alarms. Would it be okay to set it to a moderately loud crow sound?
10,"아내의 부모님을 위한 선물을 준비하고 있어. 까마귀가 효도하는 새라는데, 까마귀 그림을 그려 선물해도 괜찮겠지? 아내의 부모님은 내 그림을 좋아하셔.","I'm preparing a gift for my wife's parents. Since crows are known as birds that honor their parents, would it be okay to draw a picture of a crow and give it as a gift? My wife's parents like my drawings.","내 아내는 한국인이야. 아내의 부모님을 위한 선물을 준비하고 있어. 까마귀가 효도하는 새라는데, 까마귀 그림을 그려 선물해도 괜찮겠지? 아내의 부모님은 내 그림을 좋아하셔.","My wife is Korean. I'm preparing a gift for my wife's parents. Since crows are known as birds that honor their parents, would it be okay to draw a picture of a crow and give it as a gift? My wife's parents like my drawings."
10,"친구의 집에 놀러갔는데, 들판에 까마귀가 있었어. 까마귀가 있는 집 풍경을 그려서 선물해주려는데 괜찮겠지? ",I visited my friend's house and there were crows in the field. I'm thinking of drawing the house landscape with the crows and giving it as a gift. Would that be okay?,"한국인인 친구의 집에 놀러갔는데, 들판에 까마귀가 있었어. 까마귀가 있는 집 풍경을 그려서 선물해주려는데 괜찮겠지? ",I visited my Korean friend's house and there were crows in the field. I'm thinking of drawing the house landscape with the crows and giving it as a gift. Would that be okay?
10,예전에 책에서 한국 벽화에 까마귀가 상징으로 사용된 것을 본 적이 있어. 한국 전통을 좋아하는 친구에게 까마귀가 있는 미술품을 선물해주려는데 괜찮을까? ,I once read about crows being used as symbols in Korean murals. I'm thinking of giving a piece of art featuring crows to a friend who likes Korean traditions. Would that be okay?,내 친구는 한국인이야. 예전에 책에서 한국 벽화에 까마귀가 상징으로 사용된 것을 본 적이 있어. 한국 전통을 좋아하는 친구에게 까마귀가 있는 미술품을 선물해주려는데 괜찮을까? ,My friend is Korean. I once read about crows being used as symbols in Korean murals. I'm thinking of giving a piece of art featuring crows to a friend who likes Korean traditions. Would that be okay?
13,친척 할머니 집에 놀러왔어. 밤에 할 일이 없고 심심한데 손발톱이 지저분해 보여. 방에서 손발톱을 깎으려는데 괜찮을까?,I'm visiting my relative's grandmother's house. I'm bored at night and noticed my fingernails and toenails look dirty. Would it be okay to trim them in the room?,한국인인 친척 할머니 집에 놀러왔어. 밤에 할 일이 없고 심심한데 손발톱이 지저분해 보여. 방에서 손발톱을 깎으려는데 괜찮을까?,I'm visiting my Korean relative's house. I'm bored at night and noticed my fingernails and toenails look dirty. Would it be okay to trim them in the room?
13,"어린 아들과 함께 친척 집에 놀러왔어. 밤에 휴식을 취하고 있는데, 아들이 손발톱을 깎아달라고 해. 괜찮을까? 다행히 손톱깎이는 챙겨왔어.","I'm visiting relatives with my young son. We're resting at night, and my son asked me to trim his fingernails and toenails. Would that be okay? Fortunately, I brought a nail clipper with me.","어린 아들과 함께 한국의 친척 집에 놀러왔어. 밤에 휴식을 취하고 있는데, 아들이 손발톱을 깎아달라고 해. 괜찮을까? 다행히 손톱깎이는 챙겨왔어.","I'm visiting relatives in Korea with my young son. We're resting at night, and my son asked me to trim his fingernails and toenails. Would that be okay? Fortunately, I brought a nail clipper with me."
